,0
400,GAD2
401,SLC6A4
402,NEU1
403,PIK3C2A
404,HS3ST3A1
405,SLC7A6
406,ITPA
407,PPA2
408,TK1
409,SI
410,PDXP
411,PDE1C
412,TAT
413,P4HB
414,GPD2
415,CHST2
416,HPD
417,TPO
418,GAMT
419,CS
420,PANK4
421,CYP1A1
422,NAGLU
423,DOT1L
424,AK3
425,NDST2
426,IDH3A
427,ENTPD4
428,DGAT2
429,IMPDH2
430,PIK3C3
431,SLC14A1
432,AKR1A1
433,GMPR2
434,AKR1B1
435,PANK2
436,ENTPD1
437,CA13
438,COX7A2
439,ADCY8
440,MAN2A2
441,HSD17B1
442,GCLC
443,PNLIPRP1
444,CYP4F12
445,UQCRFS1
446,LGSN
447,PLA2G2F
448,SLC6A1
449,PPOX
450,CYP1B1
451,IP6K1
452,MOGS
453,PYCR2
454,SLC17A6
455,TPI1
456,SLC1A1
457,SLC35A3
458,PDE3A
459,AGPAT1
460,CHSY3
461,MGST3
462,AZIN2
463,DNMT3A
464,TALDO1
465,SEPHS2
466,SLC7A8
467,SULT1E1
468,ATP6V1B2
469,ACHE
470,HSD3B2
471,SLC16A7
472,ADA
473,SLC4A4
474,SLC12A4
475,PIK3R1
476,ATP1B3
477,ACOT8
478,B4GALT5
479,ADSL
480,SLC1A3
481,GALNT15
482,MGAT4B
483,ITPKC
484,PMM1
485,APRT
486,SLC25A10
487,HADHA
488,DOLPP1
489,ATP6V0C
490,SLC16A8
491,CA12
492,AQP8
493,GPAA1
494,PIK3C2B
495,SHMT1
496,LDHD
497,AOC2
498,GALNT7
499,ETNK2
500,ST8SIA5
501,GCK
502,ETFDH
503,INPP5D
504,NDUFB5
505,ATP6V0D1
506,DLST
507,HK3
508,NDUFA9
509,ATP6V1H
510,SLC19A1
511,SLC12A5
512,COX6A2
513,PLCB2
514,CERK
515,SLC17A8
516,LALBA
517,MDH1B
518,HADHB
519,INPP5J
520,IP6K2
521,GUCY1A2
522,UCP3
523,RFK
524,GK2
525,SLC25A4
