,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2
WNT9B_FZD9_LRP5,WNT9B_FZD9_LRP5,WNT,WNT9B,FZD9_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT9B - (FZD9+LRP5)
WNT1_FZD1_LRP6,WNT1_FZD1_LRP6,WNT,WNT1,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1 - (FZD1+LRP6)
WNT1_FZD10_LRP6,WNT1_FZD10_LRP6,WNT,WNT1,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1 - (FZD10+LRP6)
WNT1_FZD2_LRP6,WNT1_FZD2_LRP6,WNT,WNT1,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1 - (FZD2+LRP6)
WNT1_FZD3_LRP6,WNT1_FZD3_LRP6,WNT,WNT1,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1 - (FZD3+LRP6)
WNT1_FZD4_LRP6,WNT1_FZD4_LRP6,WNT,WNT1,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1 - (FZD4+LRP6)
WNT1_FZD5_LRP6,WNT1_FZD5_LRP6,WNT,WNT1,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1 - (FZD5+LRP6)
WNT1_FZD6_LRP6,WNT1_FZD6_LRP6,WNT,WNT1,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1 - (FZD6+LRP6)
WNT1_FZD7_LRP6,WNT1_FZD7_LRP6,WNT,WNT1,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1 - (FZD7+LRP6)
WNT1_FZD8_LRP6,WNT1_FZD8_LRP6,WNT,WNT1,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1 - (FZD8+LRP6)
WNT1_FZD9_LRP6,WNT1_FZD9_LRP6,WNT,WNT1,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1 - (FZD9+LRP6)
WNT10A_FZD1_LRP6,WNT10A_FZD1_LRP6,WNT,WNT10A,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A - (FZD1+LRP6)
WNT10A_FZD10_LRP6,WNT10A_FZD10_LRP6,WNT,WNT10A,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A - (FZD10+LRP6)
WNT10A_FZD2_LRP6,WNT10A_FZD2_LRP6,WNT,WNT10A,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A - (FZD2+LRP6)
WNT10A_FZD3_LRP6,WNT10A_FZD3_LRP6,WNT,WNT10A,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A - (FZD3+LRP6)
WNT10A_FZD4_LRP6,WNT10A_FZD4_LRP6,WNT,WNT10A,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A - (FZD4+LRP6)
WNT10A_FZD5_LRP6,WNT10A_FZD5_LRP6,WNT,WNT10A,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A - (FZD5+LRP6)
WNT10A_FZD6_LRP6,WNT10A_FZD6_LRP6,WNT,WNT10A,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A - (FZD6+LRP6)
WNT10A_FZD7_LRP6,WNT10A_FZD7_LRP6,WNT,WNT10A,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A - (FZD7+LRP6)
WNT10A_FZD8_LRP6,WNT10A_FZD8_LRP6,WNT,WNT10A,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A - (FZD8+LRP6)
WNT10A_FZD9_LRP6,WNT10A_FZD9_LRP6,WNT,WNT10A,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A - (FZD9+LRP6)
WNT10B_FZD1_LRP6,WNT10B_FZD1_LRP6,WNT,WNT10B,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B - (FZD1+LRP6)
WNT10B_FZD10_LRP6,WNT10B_FZD10_LRP6,WNT,WNT10B,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B - (FZD10+LRP6)
WNT10B_FZD2_LRP6,WNT10B_FZD2_LRP6,WNT,WNT10B,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B - (FZD2+LRP6)
WNT10B_FZD3_LRP6,WNT10B_FZD3_LRP6,WNT,WNT10B,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B - (FZD3+LRP6)
WNT10B_FZD4_LRP6,WNT10B_FZD4_LRP6,WNT,WNT10B,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B - (FZD4+LRP6)
WNT10B_FZD5_LRP6,WNT10B_FZD5_LRP6,WNT,WNT10B,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B - (FZD5+LRP6)
WNT10B_FZD6_LRP6,WNT10B_FZD6_LRP6,WNT,WNT10B,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B - (FZD6+LRP6)
WNT10B_FZD7_LRP6,WNT10B_FZD7_LRP6,WNT,WNT10B,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B - (FZD7+LRP6)
WNT10B_FZD8_LRP6,WNT10B_FZD8_LRP6,WNT,WNT10B,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B - (FZD8+LRP6)
WNT10B_FZD9_LRP6,WNT10B_FZD9_LRP6,WNT,WNT10B,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B - (FZD9+LRP6)
WNT16_FZD1_LRP6,WNT16_FZD1_LRP6,WNT,WNT16,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16 - (FZD1+LRP6)
WNT16_FZD10_LRP6,WNT16_FZD10_LRP6,WNT,WNT16,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16 - (FZD10+LRP6)
WNT16_FZD2_LRP6,WNT16_FZD2_LRP6,WNT,WNT16,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16 - (FZD2+LRP6)
WNT16_FZD3_LRP6,WNT16_FZD3_LRP6,WNT,WNT16,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16 - (FZD3+LRP6)
WNT16_FZD4_LRP6,WNT16_FZD4_LRP6,WNT,WNT16,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16 - (FZD4+LRP6)
WNT16_FZD5_LRP6,WNT16_FZD5_LRP6,WNT,WNT16,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16 - (FZD5+LRP6)
WNT16_FZD6_LRP6,WNT16_FZD6_LRP6,WNT,WNT16,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16 - (FZD6+LRP6)
WNT16_FZD7_LRP6,WNT16_FZD7_LRP6,WNT,WNT16,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16 - (FZD7+LRP6)
WNT16_FZD8_LRP6,WNT16_FZD8_LRP6,WNT,WNT16,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16 - (FZD8+LRP6)
WNT16_FZD9_LRP6,WNT16_FZD9_LRP6,WNT,WNT16,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16 - (FZD9+LRP6)
WNT2_FZD1_LRP6,WNT2_FZD1_LRP6,WNT,WNT2,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2 - (FZD1+LRP6)
WNT2_FZD10_LRP6,WNT2_FZD10_LRP6,WNT,WNT2,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2 - (FZD10+LRP6)
WNT2_FZD2_LRP6,WNT2_FZD2_LRP6,WNT,WNT2,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2 - (FZD2+LRP6)
WNT2_FZD3_LRP6,WNT2_FZD3_LRP6,WNT,WNT2,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2 - (FZD3+LRP6)
WNT2_FZD4_LRP6,WNT2_FZD4_LRP6,WNT,WNT2,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2 - (FZD4+LRP6)
WNT2_FZD5_LRP6,WNT2_FZD5_LRP6,WNT,WNT2,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2 - (FZD5+LRP6)
WNT2_FZD6_LRP6,WNT2_FZD6_LRP6,WNT,WNT2,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2 - (FZD6+LRP6)
WNT2_FZD7_LRP6,WNT2_FZD7_LRP6,WNT,WNT2,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2 - (FZD7+LRP6)
WNT2_FZD8_LRP6,WNT2_FZD8_LRP6,WNT,WNT2,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2 - (FZD8+LRP6)
WNT2_FZD9_LRP6,WNT2_FZD9_LRP6,WNT,WNT2,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2 - (FZD9+LRP6)
WNT2B_FZD1_LRP6,WNT2B_FZD1_LRP6,WNT,WNT2B,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B - (FZD1+LRP6)
WNT2B_FZD10_LRP6,WNT2B_FZD10_LRP6,WNT,WNT2B,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B - (FZD10+LRP6)
WNT2B_FZD2_LRP6,WNT2B_FZD2_LRP6,WNT,WNT2B,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B - (FZD2+LRP6)
WNT2B_FZD3_LRP6,WNT2B_FZD3_LRP6,WNT,WNT2B,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B - (FZD3+LRP6)
WNT2B_FZD4_LRP6,WNT2B_FZD4_LRP6,WNT,WNT2B,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B - (FZD4+LRP6)
WNT2B_FZD5_LRP6,WNT2B_FZD5_LRP6,WNT,WNT2B,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B - (FZD5+LRP6)
WNT2B_FZD6_LRP6,WNT2B_FZD6_LRP6,WNT,WNT2B,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B - (FZD6+LRP6)
WNT2B_FZD7_LRP6,WNT2B_FZD7_LRP6,WNT,WNT2B,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B - (FZD7+LRP6)
WNT2B_FZD8_LRP6,WNT2B_FZD8_LRP6,WNT,WNT2B,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B - (FZD8+LRP6)
WNT2B_FZD9_LRP6,WNT2B_FZD9_LRP6,WNT,WNT2B,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B - (FZD9+LRP6)
WNT3_FZD1_LRP6,WNT3_FZD1_LRP6,WNT,WNT3,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3 - (FZD1+LRP6)
WNT3_FZD10_LRP6,WNT3_FZD10_LRP6,WNT,WNT3,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3 - (FZD10+LRP6)
WNT3_FZD2_LRP6,WNT3_FZD2_LRP6,WNT,WNT3,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3 - (FZD2+LRP6)
WNT3_FZD3_LRP6,WNT3_FZD3_LRP6,WNT,WNT3,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3 - (FZD3+LRP6)
WNT3_FZD4_LRP6,WNT3_FZD4_LRP6,WNT,WNT3,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3 - (FZD4+LRP6)
WNT3_FZD5_LRP6,WNT3_FZD5_LRP6,WNT,WNT3,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3 - (FZD5+LRP6)
WNT3_FZD6_LRP6,WNT3_FZD6_LRP6,WNT,WNT3,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3 - (FZD6+LRP6)
WNT3_FZD7_LRP6,WNT3_FZD7_LRP6,WNT,WNT3,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3 - (FZD7+LRP6)
WNT3_FZD8_LRP6,WNT3_FZD8_LRP6,WNT,WNT3,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3 - (FZD8+LRP6)
WNT3_FZD9_LRP6,WNT3_FZD9_LRP6,WNT,WNT3,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3 - (FZD9+LRP6)
WNT3A_FZD1_LRP6,WNT3A_FZD1_LRP6,WNT,WNT3A,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3A - (FZD1+LRP6)
WNT3A_FZD10_LRP6,WNT3A_FZD10_LRP6,WNT,WNT3A,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3A - (FZD10+LRP6)
WNT3A_FZD2_LRP6,WNT3A_FZD2_LRP6,WNT,WNT3A,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3A - (FZD2+LRP6)
WNT3A_FZD3_LRP6,WNT3A_FZD3_LRP6,WNT,WNT3A,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3A - (FZD3+LRP6)
WNT3A_FZD4_LRP6,WNT3A_FZD4_LRP6,WNT,WNT3A,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3A - (FZD4+LRP6)
WNT3A_FZD5_LRP6,WNT3A_FZD5_LRP6,WNT,WNT3A,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3A - (FZD5+LRP6)
WNT3A_FZD6_LRP6,WNT3A_FZD6_LRP6,WNT,WNT3A,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3A - (FZD6+LRP6)
WNT3A_FZD7_LRP6,WNT3A_FZD7_LRP6,WNT,WNT3A,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3A - (FZD7+LRP6)
WNT3A_FZD8_LRP6,WNT3A_FZD8_LRP6,WNT,WNT3A,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3A - (FZD8+LRP6)
WNT3A_FZD9_LRP6,WNT3A_FZD9_LRP6,WNT,WNT3A,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT3A - (FZD9+LRP6)
WNT4_FZD1_LRP6,WNT4_FZD1_LRP6,WNT,WNT4,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT4 - (FZD1+LRP6)
WNT4_FZD10_LRP6,WNT4_FZD10_LRP6,WNT,WNT4,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT4 - (FZD10+LRP6)
WNT4_FZD2_LRP6,WNT4_FZD2_LRP6,WNT,WNT4,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT4 - (FZD2+LRP6)
WNT4_FZD3_LRP6,WNT4_FZD3_LRP6,WNT,WNT4,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT4 - (FZD3+LRP6)
WNT4_FZD4_LRP6,WNT4_FZD4_LRP6,WNT,WNT4,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT4 - (FZD4+LRP6)
WNT4_FZD5_LRP6,WNT4_FZD5_LRP6,WNT,WNT4,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT4 - (FZD5+LRP6)
WNT4_FZD6_LRP6,WNT4_FZD6_LRP6,WNT,WNT4,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT4 - (FZD6+LRP6)
WNT4_FZD7_LRP6,WNT4_FZD7_LRP6,WNT,WNT4,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT4 - (FZD7+LRP6)
WNT4_FZD8_LRP6,WNT4_FZD8_LRP6,WNT,WNT4,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT4 - (FZD8+LRP6)
WNT4_FZD9_LRP6,WNT4_FZD9_LRP6,WNT,WNT4,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT4 - (FZD9+LRP6)
WNT6_FZD1_LRP6,WNT6_FZD1_LRP6,WNT,WNT6,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT6 - (FZD1+LRP6)
WNT6_FZD10_LRP6,WNT6_FZD10_LRP6,WNT,WNT6,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT6 - (FZD10+LRP6)
WNT6_FZD2_LRP6,WNT6_FZD2_LRP6,WNT,WNT6,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT6 - (FZD2+LRP6)
WNT6_FZD3_LRP6,WNT6_FZD3_LRP6,WNT,WNT6,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT6 - (FZD3+LRP6)
WNT6_FZD4_LRP6,WNT6_FZD4_LRP6,WNT,WNT6,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT6 - (FZD4+LRP6)
WNT6_FZD5_LRP6,WNT6_FZD5_LRP6,WNT,WNT6,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT6 - (FZD5+LRP6)
WNT6_FZD6_LRP6,WNT6_FZD6_LRP6,WNT,WNT6,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT6 - (FZD6+LRP6)
WNT6_FZD7_LRP6,WNT6_FZD7_LRP6,WNT,WNT6,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT6 - (FZD7+LRP6)
WNT6_FZD8_LRP6,WNT6_FZD8_LRP6,WNT,WNT6,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT6 - (FZD8+LRP6)
WNT6_FZD9_LRP6,WNT6_FZD9_LRP6,WNT,WNT6,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT6 - (FZD9+LRP6)
WNT7A_FZD1_LRP6,WNT7A_FZD1_LRP6,WNT,WNT7A,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT7A - (FZD1+LRP6)
WNT7A_FZD10_LRP6,WNT7A_FZD10_LRP6,WNT,WNT7A,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT7A - (FZD10+LRP6)
WNT7A_FZD2_LRP6,WNT7A_FZD2_LRP6,WNT,WNT7A,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT7A - (FZD2+LRP6)
WNT7A_FZD3_LRP6,WNT7A_FZD3_LRP6,WNT,WNT7A,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT7A - (FZD3+LRP6)
