,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2
BMP2_BMPR1B_BMPR2,BMP2_BMPR1B_BMPR2,BMP,BMP2,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2 - (BMPR1B+BMPR2)
BMP4_BMPR1A_ACVR2A,BMP4_BMPR1A_ACVR2A,BMP,BMP4,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1A+ACVR2A)
BMP4_BMPR1A_ACVR2B,BMP4_BMPR1A_ACVR2B,BMP,BMP4,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1A+ACVR2B)
BMP4_BMPR1A_BMPR2,BMP4_BMPR1A_BMPR2,BMP,BMP4,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1A+BMPR2)
BMP4_BMPR1B_ACVR2A,BMP4_BMPR1B_ACVR2A,BMP,BMP4,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1B+ACVR2A)
BMP4_BMPR1B_ACVR2B,BMP4_BMPR1B_ACVR2B,BMP,BMP4,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1B+ACVR2B)
BMP4_BMPR1B_BMPR2,BMP4_BMPR1B_BMPR2,BMP,BMP4,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1B+BMPR2)
GDF5_BMPR1A_ACVR2A,GDF5_BMPR1A_ACVR2A,BMP,GDF5,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1A+ACVR2A)
GDF5_BMPR1A_ACVR2B,GDF5_BMPR1A_ACVR2B,BMP,GDF5,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1A+ACVR2B)
GDF5_BMPR1A_BMPR2,GDF5_BMPR1A_BMPR2,BMP,GDF5,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1A+BMPR2)
GDF5_BMPR1B_ACVR2A,GDF5_BMPR1B_ACVR2A,BMP,GDF5,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1B+ACVR2A)
GDF5_BMPR1B_ACVR2B,GDF5_BMPR1B_ACVR2B,BMP,GDF5,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1B+ACVR2B)
GDF5_BMPR1B_BMPR2,GDF5_BMPR1B_BMPR2,BMP,GDF5,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1B+BMPR2)
GDF6_BMPR1A_ACVR2A,GDF6_BMPR1A_ACVR2A,BMP,GDF6,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1A+ACVR2A)
GDF6_BMPR1A_ACVR2B,GDF6_BMPR1A_ACVR2B,BMP,GDF6,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1A+ACVR2B)
GDF6_BMPR1A_BMPR2,GDF6_BMPR1A_BMPR2,BMP,GDF6,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1A+BMPR2)
